2885,	397
7189,	357
9641,	322
7532,	296
3107,	287
7157,	259
4163,	215
1956,	207
7428,	198
2033,	194
7311,	192
5430,	189
5437,	183
1915,	183
7186,	180
6714,	179
5434,	178
4088,	178
1387,	178
5441,	176
5440,	176
5435,	173
5970,	171
6310,	170
2099,	168
5432,	166
4215,	164
7529,	163
4087,	163
5436,	159
5431,	158
5578,	157
5566,	156
5439,	156
2963,	156
5594,	155
5433,	155
56893,	154
5564,	153
5438,	153
1937,	153
10289,	152
2962,	152
1457,	151
6189,	150
8517,	144
4686,	141
6217,	139
3646,	139
6208,	138
1981,	138
6233,	137
4791,	137
4089,	137
7534,	136
5925,	136
11007,	135
6205,	135
2130,	135
6203,	134
1977,	134
22916,	133
1080,	133
6122,	132
3190,	132
2534,	132
6204,	131
5093,	131
6147,	130
1973,	130
6188,	129
6142,	129
6125,	129
367,	129
6223,	128
5295,	128
3192,	128
1017,	128
25873,	127
8665,	127
6628,	127
983,	127
6908,	126
4670,	126
3065,	126
9349,	125
8894,	125
6235,	125
6194,	125
6152,	125
836,	125
6231,	124
6210,	124
6207,	124
6202,	124
6191,	124
6176,	124
6160,	124
1660,	124
6234,	123
6224,	123
6222,	123
6193,	123
5914,	123
11224,	122
6464,	122
6426,	122
6187,	122
6165,	122
6132,	122
3921,	122
3183,	122
2197,	122
1974,	122
1965,	122
1499,	122
11338,	121
8667,	121
6230,	121
6227,	121
6169,	121
6161,	121
6159,	121
6154,	121
6146,	121
8661,	120
8243,	120
7431,	120
6201,	120
6135,	120
6129,	120
6124,	120
2035,	120
1968,	120
27335,	119
23451,	119
8669,	119
7046,	119
6229,	119
6181,	119
6158,	119
6134,	119
6625,	118
6218,	118
6209,	118
6175,	118
6156,	118
8664,	117
6232,	117
6228,	117
6206,	117
6192,	117
6168,	117
6144,	117
6141,	117
6128,	117
3191,	117
1964,	117
801,	117
8668,	116
8666,	116
6137,	116
6136,	116
6130,	116
9045,	115
6634,	115
6155,	115
6138,	115
3184,	115
1983,	115
1936,	115
23521,	114
6173,	114
4331,	114
3178,	114
2521,	114
1975,	114
1022,	114
672,	114
8663,	113
6633,	113
6157,	113
5595,	113
5111,	113
4736,	113
382,	113
8662,	112
7458,	112
6637,	112
6427,	112
6171,	112
6139,	112
6133,	112
1478,	112
219541,	111
57819,	111
51121,	111
9343,	111
6170,	111
6167,	111
6164,	111
6143,	111
6123,	111
3187,	111
902,	111
23020,	110
10421,	110
6636,	110
4116,	110
4093,	110
27316,	109
6635,	109
6428,	109
3725,	109
400604,	108
23450,	108
10291,	108
10189,	108
9669,	108
7132,	108
6632,	108
4904,	108
4188,	108
