1,	1
2,	32
131076,	1
9,	1
10,	1
12,	19
14,	1
15,	3
16,	2
18,	2
19,	30
20,	1
22,	1
23,	4
24,	1
25,	92
26,	3
27,	11
29,	1
31,	10
32,	6
33,	5
34,	7
35,	3
36,	4
37,	4
38,	12
39,	14
40,	4
41,	5
163882,	1
43,	9
47,	16
49,	3
50,	6
51,	1
52,	22
54,	10
55,	3
58,	89
59,	14
60,	105
70,	33
71,	67
72,	2
81,	28
86,	22
87,	44
88,	33
89,	6
90,	47
91,	13
92,	18
93,	14
94,	9
95,	2
100,	8
102,	19
103,	3
104,	1
107,	36
108,	3
109,	2
111,	8
112,	4
113,	1
114,	36
116,	7
117,	2
118,	12
119,	7
120,	1
123,	1
124,	5
125,	4
126,	5
127,	2
128,	2
131,	1
133,	5
134,	9
135,	8
136,	5
142,	45
143,	1
221504,	2
146,	6
147,	9
148,	9
150,	8
151,	3
152,	3
153,	13
154,	24
155,	4
156,	33
157,	7
158,	7
159,	8
160,	23
161,	13
162,	16
163,	33
164,	17
165,	1
166,	24
174,	3
175,	2
176,	16
177,	5
178,	7
181,	4
182,	17
183,	15
185,	15
186,	6
187,	1
189,	2
190,	7
191,	8
196,	24
197,	4
199,	2
202,	1
203,	20
204,	10
207,	106
208,	29
210,	1
211,	1
212,	2
213,	13
214,	3
215,	5
216,	6
217,	16
218,	1
223,	1
225,	4
226,	17
229,	11
230,	7
231,	12
236,	3
238,	10
239,	5
240,	6
241,	1
242,	2
249,	3
250,	5
251,	2
259,	5
262,	1
267,	4
268,	3
269,	3
270,	3
271,	4
272,	2
273,	15
274,	27
5507,	2
276,	4
279,	1
283,	7
284,	2
285,	1
286,	14
287,	8
288,	8
290,	1
291,	20
292,	28
293,	36
301,	11
302,	33
306,	6
307,	1
308,	10
309,	9
310,	6
311,	7
312,	3
317,	16
319,	2
320,	15
321,	9
322,	14
323,	4
324,	31
325,	13
326,	3
327,	7
328,	43
329,	22
330,	9
331,	24
332,	15
333,	23
334,	10
335,	23
336,	8
337,	2
338,	17
339,	34
341,	2
344,	1
347,	4
348,	16
350,	7
351,	97
353,	9
354,	13
355,	37
356,	30
357,	1
358,	10
359,	1
360,	1
361,	4
362,	1
367,	129
369,	23
124401,	1
372,	8
373,	18
374,	5
375,	38
377,	7
378,	2
379,	20
381,	5
382,	113
383,	5
384,	1
387,	68
388,	6
389,	11
390,	4
391,	17
392,	20
393,	1
394,	6
396,	23
397,	8
398,	6
399,	7
400,	11
401,	5
402,	4
403,	11
405,	24
406,	12
407,	17
408,	46
409,	47
410,	4
415,	4
416,	1
417,	1
421,	5
427,	3
429,	8
430,	3
432,	6
433,	4
434,	6
435,	4
439,	1
440,	3
443,	1
444,	1
445,	10
65989,	4
65990,	9
65991,	10
65992,	1
65993,	2
65997,	1
462,	8
463,	4
466,	17
467,	13
468,	19
471,	16
472,	48
473,	19
474,	1
475,	3
476,	6
477,	1
478,	1
480,	1
481,	5
482,	1
483,	1
486,	1
487,	5
488,	13
489,	4
490,	3
491,	6
493,	9
496,	1
498,	23
66036,	7
66037,	3
506,	26
509,	37
513,	22
514,	17
515,	21
516,	17
518,	2
521,	17
522,	17
197131,	16
22931,	3
525,	3
527,	2
529,	14
534,	1
537,	2
538,	3
539,	26
540,	4
545,	19
546,	7
547,	1
549,	3
550,	7
551,	5
552,	3
553,	2
554,	5
558,	19
563,	2
566,	1
567,	20
570,	1
571,	2
572,	33
573,	19
575,	7
576,	6
578,	19
580,	30
581,	20
583,	1
585,	1
586,	5
587,	5
590,	2
593,	10
594,	9
595,	54
596,	76
597,	11
598,	57
599,	9
602,	26
604,	78
605,	1
607,	5
608,	6
610,	1
613,	33
617,	1
622,	2
623,	1
624,	12
627,	10
629,	3
631,	3
632,	4
633,	14
634,	11
635,	1
636,	3
637,	24
638,	5
639,	5
640,	11
641,	18
642,	7
643,	6
648,	15
649,	11
650,	17
651,	3
652,	15
653,	4
654,	9
655,	12
656,	2
657,	17
658,	48
659,	40
660,	18
661,	25
662,	6
663,	9
664,	7
665,	12
666,	2
667,	19
668,	1
669,	1
671,	1
672,	114
673,	19
675,	15
676,	1
677,	2
682,	11
683,	2
685,	4
687,	1
688,	8
689,	11
694,	8
695,	53
696,	1
699,	14
701,	19
705,	6
706,	2
708,	47
710,	14
712,	16
713,	7
714,	3
715,	5
716,	4
717,	5
718,	30
719,	2
720,	5
721,	7
722,	6
725,	1
727,	8
728,	7
729,	2
730,	3
731,	4
732,	3
733,	1
735,	3
738,	1
739,	1
197358,	1
752,	4
754,	2
758,	1
760,	11
761,	1
762,	3
765,	1
767,	2
768,	3
771,	8
773,	5
774,	9
775,	8
776,	2
777,	3
778,	1
779,	3
780,	16
782,	5
783,	1
784,	3
785,	8
788,	1
790,	24
793,	2
794,	2
796,	4
799,	5
800,	6
801,	117
805,	26
808,	41
810,	2
811,	42
813,	2
814,	7
815,	32
816,	11
817,	11
818,	27
819,	3
820,	5
821,	41
822,	1
823,	40
824,	8
825,	8
826,	15
829,	19
830,	3
831,	9
832,	11
833,	1
834,	33
835,	20
836,	125
837,	44
838,	4
839,	30
840,	51
841,	73
842,	36
843,	27
845,	4
846,	7
847,	6
857,	76
858,	9
859,	9
860,	24
861,	22
862,	35
863,	16
864,	11
865,	6
867,	81
868,	26
103910,	2
871,	10
874,	3
875,	5
881,	2
883,	1
885,	6
886,	3
887,	4
889,	2
890,	49
891,	37
892,	6
894,	19
896,	36
898,	30
899,	1
900,	7
901,	2
902,	111
904,	54
905,	43
908,	5
909,	1
910,	2
912,	6
913,	1
914,	17
915,	8
916,	16
917,	4
919,	33
920,	32
921,	22
922,	1
923,	2
924,	6
925,	15
926,	2
928,	20
929,	8
930,	21
931,	4
932,	1
933,	14
934,	3
939,	5
940,	17
941,	4
942,	5
943,	9
944,	2
945,	2
946,	1
947,	3
948,	13
949,	5
950,	2
952,	5
953,	1
954,	1
955,	1
957,	1
958,	42
959,	6
960,	34
961,	11
962,	8
963,	6
965,	3
966,	13
967,	8
969,	1
970,	1
971,	5
972,	8
973,	15
974,	9
975,	16
976,	1
977,	5
978,	5
983,	127
984,	13
985,	10
987,	1
988,	36
989,	6
990,	83
991,	29
993,	79
994,	33
995,	26
996,	16
997,	17
998,	85
999,	52
1000,	17
1001,	4
1002,	1
1003,	18
1004,	6
1005,	6
1006,	1
1007,	7
55681,	2
1009,	3
1010,	2
1012,	2
1013,	9
1014,	1
1016,	3
1017,	128
1018,	13
1019,	67
1020,	43
1021,	27
1022,	114
1024,	15
1025,	66
1026,	56
1027,	38
1028,	6
1029,	44
1030,	8
1031,	15
1032,	3
1033,	7
1039,	4
1041,	2
1045,	11
1047,	1
1048,	2
1050,	24
1051,	47
1052,	9
1053,	14
1054,	12
1056,	1
1058,	7
1059,	7
1060,	3
1062,	3
1063,	10
1066,	3
1068,	1
1069,	2
1070,	5
1071,	5
1072,	21
1073,	6
1075,	3
1080,	133
1081,	10
1082,	3
1084,	4
132158,	1
1088,	2
22950,	1
1101,	1
1102,	2
1103,	9
1104,	18
1105,	5
1106,	1
1107,	78
1108,	7
1111,	24
1112,	2
1113,	2
1114,	23
1116,	1
1119,	1
1121,	11
1122,	5
1123,	6
1124,	4
1128,	2
1129,	8
1130,	15
1131,	6
1132,	2
1134,	4
1135,	2
1136,	2
1137,	6
1138,	1
1139,	2
1140,	1
1141,	3
1143,	5
1144,	2
1145,	1
1146,	1
1147,	71
1149,	6
1152,	4
1153,	6
1154,	11
1155,	3
1158,	5
1159,	6
1160,	5
1161,	46
1163,	7
1164,	6
1173,	31
1174,	12
1175,	3
1176,	6
1179,	3
1180,	1
1182,	4
1184,	3
1186,	1
1191,	18
1192,	10
1193,	1
1195,	11
1196,	4
1198,	4
1200,	1
1203,	1
1207,	6
1208,	3
1211,	6
1212,	7
1213,	65
1215,	8
1230,	19
1231,	8
1232,	21
1233,	7
1234,	41
1235,	4
1236,	3
1237,	5
1238,	15
1241,	2
1244,	5
22955,	11
1258,	2
1259,	1
1260,	3
1263,	7
1264,	5
1265,	1
1266,	2
1267,	3
1268,	6
1269,	1
1270,	12
1271,	9
1272,	8
1277,	39
1278,	30
1280,	27
1281,	9
1282,	20
1284,	19
1285,	17
1286,	12
1287,	11
1288,	10
1289,	6
1290,	2
1291,	4
1292,	3
1293,	1
1294,	14
1295,	8
1296,	1
1297,	2
1298,	5
1299,	2
1300,	3
1301,	1
1303,	1
1305,	7
1308,	13
